AgencyName,2014Ridership
SF Muni,223701000 
BART,126603000 
AC Transit,55235000
VTA,44244000
Caltrain,15596000 
SamTrans,12446000 
Golden Gate Transit,6662309
Golden Gate Ferry,2540691
WETA,607000
Napa Solano,550000
